secs,dist
8,10874.1074579844
122,10886.0168028545
123,10887.3062109854
124,10888.5554419058
125,10889.7290969121
126,10890.7306874642
127,10891.9909237748
128,10893.0420454183
129,10894.31477607
130,10895.1254604097
131,10895.7270470959
132,10896.5576084369
133,10897.1311062823
134,10897.3456620545
135,10896.4469483273
136,10896.1108461651
137,10895.9990595887
138,10895.9990595887
139,10895.8596321834
140,10895.4937304207
141,10894.8815766399
142,10894.678330695
143,10894.4522971036
144,10894.045876804
145,10893.4429240951
146,10892.7405251255
147,10892.0234025609
148,10890.7032111429
149,10889.2608930991
150,10887.3426288824
151,10885.4389419393
152,10883.6992536417
153,10881.9314235411
154,10880.1505462524
155,10878.3799264839
156,10876.4916722531
157,10874.8111790817
158,10872.6630593211
159,10870.8509249133
160,10868.8257453828
161,10865.9209797515
162,10861.1509371595
163,10855.1337489255
164,10849.6831713946
165,10845.4109176737
166,10840.7319387305
167,10835.6947414556
168,10830.2737248787
169,10825.3198921684
170,10820.301820369
171,10815.8339530024
172,10810.9604944872
173,10806.5020780405
174,10802.1660295339
175,10797.7700904034
176,10793.362981097
177,10788.8699409642
178,10784.6313517612
179,10780.1335147203
180,10775.7191026391
181,10772.0197903331
182,10768.3288477413
183,10764.0266351158
184,10759.6791094933
185,10755.6122199878
186,10751.5535022944
187,10747.0688283386
188,10742.6094272481
189,10738.0050013866
190,10733.9756225204
191,10729.9822879924
192,10725.841698708
193,10721.4724219851
194,10716.948201688
195,10712.3257093017
196,10707.4295350178
197,10702.939166308
198,10697.7658948298
199,10693.1145927773
200,10688.6155973004
201,10684.3399799325
202,10679.7868132062
203,10675.0323095035
204,10670.2774308613
205,10665.4264156192
206,10660.7674076523
207,10656.2624649253
208,10651.7177050669
209,10647.0924655963
210,10643.4698035332
211,10639.9472809525
212,10636.4397425699
213,10632.8179647541
214,10629.3197008984
215,10625.8559862773
216,10622.3960042359
217,10618.7829342492
218,10615.4900729188
219,10612.6773136137
220,10609.1995758202
221,10606.0515173039
222,10603.0115343441
223,10599.9000118991
224,10597.0923074084
225,10594.12419539
226,10590.8304405073
227,10587.9323389728
228,10584.8817852726
229,10581.93850783
230,10579.2779149645
231,10576.2333940306
232,10573.247410561
233,10570.1382299883
234,10567.2888133996
235,10564.4962522269
236,10561.3695732311
237,10558.4762161421
238,10555.5537683907
239,10552.527896924
240,10549.536010059
241,10546.6668049383
242,10544.1175055515
243,10541.6252590276
244,10539.1750080377
245,10536.9745031453
246,10534.6264116499
247,10532.0210570662
248,10529.4309596853
249,10526.8145245066
250,10524.3398284922
251,10521.7477264638
252,10519.1938461285
253,10517.6290783966
254,10516.3473183348
255,10515.1537367819
256,10514.3388261621
257,10513.7219901085
258,10513.1165939512
259,10512.532912533
260,10512.350165388
261,10512.1674348005
262,10511.9847033543
263,10511.8019841734
264,10511.6192598284
265,10511.4365454906
266,10511.2538434191
267,10511.0711404901
268,10510.8884455119
269,10509.3197706349
270,10508.1163119617
271,10507.4404286556
272,10507.2867916891
273,10507.2152859952
274,10507.2152859952
275,10507.2042881479
276,10506.8962762492
277,10507.0277365279
278,10508.1898028827
279,10510.7830552953
280,10513.5978332833
281,10516.1000047215
282,10518.8664371002
283,10521.2504255476
284,10523.983510174
285,10526.5330267514
286,10529.1146240716
287,10531.8763834818
288,10534.4992215712
289,10537.6922740775
290,10540.2375839604
291,10542.6683928062
292,10545.0801998024
293,10547.9556200778
294,10550.5544669207
295,10553.2848267201
296,10555.8034678929
297,10558.4763146429
298,10560.9488384685
299,10563.2913258407
300,10565.6463670498
301,10568.0965863776
302,10570.2841367548
303,10572.6092908633
304,10574.9133113213
305,10577.0452387823
306,10579.1804598195
307,10580.9821629028
308,10582.7782328974
309,10584.7457872708
310,10586.7365389984
311,10588.8843501074
312,10590.7892751195
313,10592.4186980127
314,10594.0677444142
315,10596.0481501002
316,10598.0845306861
317,10600.1960403622
318,10602.6136875728
319,10605.1210631655
320,10607.9051297406
321,10610.1676710071
322,10612.5040235011
323,10615.0075351345
324,10617.1934029496
325,10619.5078213942
326,10621.6001910718
327,10623.7879659622
328,10625.8207979017
329,10628.0833931704
330,10630.4850182939
331,10633.1762863666
332,10635.643045488
333,10637.9290636307
334,10640.5233683483
335,10642.8729290744
336,10645.2638647322
337,10647.1248289827
338,10649.1972887045
339,10651.6212935772
340,10654.2481678568
341,10657.0671338061
342,10659.4459788985
343,10661.7991096571
344,10664.0231844975
345,10666.4581894405
346,10668.837901486
347,10671.552684789
348,10674.2028579352
349,10677.3073818686
350,10681.0566109085
351,10684.4527945614
352,10688.2863451382
353,10692.2573441203
354,10696.5982477803
355,10700.8231886889
356,10705.1455883862
357,10709.2539364755
358,10712.346354246
359,10714.8271424636
360,10717.0771697415
361,10718.3276616637
362,10718.3670298816
363,10717.2611671761
364,10715.0946424899
365,10712.4420476568
366,10708.6809171906
367,10703.4510734349
368,10697.6480079335
369,10692.8689166379
370,10688.0344694569
371,10683.3146769138
372,10679.1066988736
373,10674.5210540366
374,10670.0189549547
375,10665.1308760413
376,10659.9121146545
377,10654.9365076114
378,10650.8137052333
379,10645.93080895
380,10640.8686658927
381,10636.0558863422
382,10630.8670467976
383,10625.6622641515
384,10620.3231226709
385,10614.6374949732
386,10608.7031291945
387,10602.6392183409
388,10596.3795558793
389,10589.8911954249
390,10583.5594778692
391,10577.4905763347
392,10571.0646550488
393,10564.832639866
394,10558.255044183
395,10551.2999812173
396,10544.2586369747
397,10536.9649916727
398,10529.8359437829
399,10523.0980396301
400,10516.6537215133
401,10510.4734984803
402,10503.6045212896
403,10496.6300193618
404,10490.2242520398
405,10484.279116711
406,10478.5947935056
407,10472.9790051798
408,10468.0197092756
409,10462.6322655614
410,10457.5762293896
411,10451.177924267
412,10445.217581335
413,10438.7755796189
414,10432.2830060978
415,10425.2723965067
416,10418.5361058674
417,10411.1905256032
418,10403.9241727513
419,10397.403531716
420,10391.9870018686
421,10388.2349821602
422,10385.2213897668
423,10382.0391503007
424,10378.5860741982
425,10374.8861222354
426,10370.7394976617
427,10366.2908749672
428,10361.7267441186
429,10356.5616198669
430,10351.74656905
431,10346.7805546201
432,10341.5154501894
433,10335.9814264668
434,10330.386212706
435,10324.9993565111
436,10318.7840375727
437,10312.371234657
438,10305.8272685363
439,10298.8866118822
440,10292.9218694555
441,10285.7888442091
442,10278.6314956774
443,10271.7058306387
444,10264.7145293238
445,10258.1693810053
446,10251.6319396715
447,10244.5711747617
448,10238.003085901
449,10232.0157207707
450,10226.4386382113
451,10221.0632053102
452,10215.4038373941
453,10209.9221687877
454,10204.5605918843
455,10199.0812981069
456,10194.0107637443
457,10188.6813578615
458,10183.1983618124
459,10177.6106617865
460,10172.6764976171
461,10167.9006494766
462,10163.6396548195
463,10160.331195214
464,10157.1053485346
465,10153.9462239901
466,10151.5465888505
467,10149.5098540947
468,10148.4286452872
469,10147.2252195265
470,10146.1861360177
471,10144.81842765
472,10143.4573495184
473,10142.3898083383
474,10141.231258361
475,10140.7418640747
476,10140.3155994325
477,10139.6190199475
478,10138.8156070029
505,10135.4531454124
506,10133.1602827469
507,10131.4589943916
508,10130.4817476256
509,10129.8328697003
510,10129.3380105874
511,10129.3160932954
512,10129.3160932954
513,10129.2475904961
514,10129.1790778665
515,10129.1105823521
516,10129.0420704678
517,10128.9735589556
518,10128.9050580222
519,10128.8365537938
520,10128.768053607
521,10128.6995435853
522,10128.6310441451
523,10128.5625414072
524,10128.4940427135
525,10128.4255341825
526,10128.3570325622
527,10128.2885349883
528,10128.2200275748
529,10128.1515307476
530,10128.0830306181
531,10128.0145345375
532,10127.946028615
533,10127.8775296033
534,10127.8090346426
535,10127.7405298377
536,10127.6720356239
537,10125.8883797073
538,10123.5691833049
539,10120.8463766285
540,10117.5295826754
541,10114.0967361388
542,10111.0929899373
543,10108.9125450594
544,10106.6079729858
545,10103.9101104693
546,10100.4652975349
547,10096.8908609518
548,10093.2843272659
549,10089.9894783426
550,10086.118328776
551,10081.9529473021
552,10077.9318002328
553,10073.7457516344
554,10069.0623048372
555,10065.4475815242
556,10062.1271308801
557,10058.39662751
558,10054.8280567959
559,10051.3635154432
560,10047.638571995
561,10044.1917199355
562,10040.5880642336
563,10036.6351055486
564,10032.7204309466
565,10029.0388805829
566,10025.2215427492
567,10021.4276058792
568,10017.1713789849
569,10012.8362297574
570,10008.610477687
571,10004.4811109213
572,10000.4412086417
573,9996.21889855084
574,9991.985782207
575,9987.35990700444
576,9982.74607069842
577,9978.06685845392
578,9973.87354917508
579,9969.35481271375
580,9964.82277642959
581,9960.49933486429
582,9955.5051916741
583,9950.51945622343
584,9945.37712292558
585,9940.06727699838
586,9934.72162041559
587,9929.03646484789
588,9923.2100259021
589,9917.14578903026
590,9910.64248458398
591,9904.31627110632
592,9897.92145957364
593,9891.28491688825
594,9884.532302499
595,9877.55029880568
596,9870.46906373369
597,9863.2615965412
598,9856.83862290236
599,9850.03236496199
600,9843.11915468922
601,9837.00667866292
602,9830.55841963344
603,9824.3420891602
604,9817.85095251945
605,9811.16150230932
606,9804.54437596398
607,9797.99742403582
608,9790.7948576694
609,9783.40139864781
610,9775.71145923709
611,9768.5883129327
612,9760.76369202383
613,9752.70174700091
614,9744.75657048986
615,9737.05924112705
616,9729.0639754078
617,9720.83425333061
618,9712.83088266249
619,9704.81171411576
620,9696.3175684692
621,9687.99427624448
622,9680.43828018371
623,9672.43522350781
624,9664.45305784242
625,9656.36038012587
626,9647.98837935422
627,9639.50354057753
628,9631.4882427611
629,9623.59162402054
630,9614.55791842663
631,9605.94781884203
632,9597.7635711684
633,9589.9482743974
634,9581.88550222092
635,9573.58133529454
636,9565.0844618902
637,9556.55708739566
638,9548.3204883061
639,9540.01836893987
640,9531.52189919641
641,9523.02335860829
642,9514.66141423709
643,9506.69206741467
644,9498.78304014141
645,9490.77833378897
646,9483.2640344842
647,9474.9538362988
648,9466.90472644342
649,9459.0391137619
650,9451.58042919139
651,9444.19007288538
652,9436.14794773419
653,9427.90143512266
654,9420.15836119408
655,9413.11044052274
656,9406.31516153326
657,9399.1507996761
658,9391.26252275741
659,9383.67113308991
660,9376.2223154477
661,9369.98587163409
662,9363.63983523904
663,9357.20697243037
664,9351.65935119241
665,9345.87517240292
666,9340.12872508746
667,9334.42122337214
668,9329.48233540694
669,9324.7356248537
670,9320.02736610962
671,9315.20692181584
672,9310.31070808243
673,9305.28692599308
674,9299.63694260971
675,9294.434384878
676,9289.07171231085
677,9283.26224940983
678,9277.16688385041
679,9271.21406354076
680,9265.223503054
681,9259.06756624927
682,9252.53300646445
683,9245.79407304742
684,9239.28549683796
685,9232.40635027821
686,9225.25728997945
687,9218.58521389489
688,9210.95912670205
689,9203.55044820012
690,9195.81680290166
691,9187.84110377567
692,9179.42288839118
693,9170.47669007457
694,9162.36830102829
695,9153.67593019129
696,9145.10723832231
697,9137.36425169467
698,9129.38387944113
699,9121.20232432446
700,9113.29845125924
701,9105.34340655715
702,9097.05684433574
703,9088.66239410887
704,9080.85477378222
705,9073.92443677026
706,9068.12731758196
707,9064.40901755537
708,9063.02524374921
709,9062.58351629246
710,9062.14179884182
711,9061.70008158106
712,9061.25836451048
713,9060.81663781123
714,9057.63322116269
715,9054.75979412405
716,9050.98101961684
717,9047.07000158182
718,9042.93708100026
719,9038.94859678067
720,9034.43206658219
721,9029.83646244049
722,9025.25380905761
723,9020.84455149379
724,9016.53613131883
725,9013.27636911556
726,9009.79953288184
727,9006.2544761274
728,9002.33425516097
729,8997.9914903777
730,8993.20258483343
731,8989.7990503459
732,8986.34939268954
733,8982.93175918739
734,8979.0979074315
735,8975.08351639096
736,8971.16893327963
737,8967.17957723649
738,8963.05284098524
739,8958.9275848189
740,8954.89224422545
741,8951.19613212429
742,8947.58356490222
743,8944.58173547714
744,8941.43585480262
745,8938.48854759273
746,8935.61681947084
747,8932.64913751817
748,8929.97481125951
749,8927.44139894062
750,8924.29747729113
751,8920.9787158895
752,8918.08355867283
753,8914.96565164722
754,8911.3685388278
755,8908.68104657179
756,8906.31208718728
757,8903.76400857249
758,8900.24588349446
759,8896.66110846747
760,8893.23612018163
761,8890.05529406351
762,8886.51939427885
763,8882.81367720188
764,8878.70468129988
765,8874.42462355655
766,8870.28060508
767,8865.89652866462
768,8861.7795197197
769,8857.67872585297
770,8853.52444820586
771,8848.95388962726
772,8844.3920768619
773,8839.91695381094
774,8835.38337358726
775,8831.26318583319
776,8826.99740000547
777,8822.72585748666
778,8818.09248870985
779,8813.53968853207
780,8809.33509837197
781,8805.0580110087
782,8800.64210423907
783,8795.75451437819
784,8792.14774763195
785,8787.58528410467
786,8782.61032296398
787,8777.5534696846
788,8772.72681408303
789,8767.93414176147
790,8763.13302670272
791,8758.50950643862
792,8753.87743603698
793,8749.30403444064
794,8744.97314588464
795,8740.32250630112
796,8734.83666572832
797,8729.48615056032
798,8723.97090473722
799,8718.08231715746
800,8713.73059572275
801,8709.12735329814
802,8704.06930366952
803,8698.9456550569
804,8693.40613556564
805,8689.01046595362
806,8684.79122007704
807,8679.89009524178
808,8675.33344389505
809,8671.08689476737
810,8666.7434295267
811,8662.24380458427
812,8657.23638004435
813,8652.56639306926
814,8648.09008422757
815,8643.64104559052
816,8638.82574578155
817,8634.09199185196
818,8629.32842235095
819,8624.40138445091
820,8619.62136262898
821,8614.71378939566
822,8609.94021383251
823,8605.33061970965
824,8600.33515265868
825,8595.65143479024
826,8590.18030806845
827,8585.06754133475
828,8579.37700359184
829,8573.87298720026
830,8568.76340679325
831,8563.69737033208
832,8558.77832779795
833,8553.67580682168
834,8548.92733474935
835,8544.14896421282
836,8539.12323245874
837,8534.37759892764
838,8529.57965207739
839,8524.69586706546
840,8519.91073589175
841,8514.77302307358
842,8510.56979644475
843,8505.8650206018
844,8501.06507636953
845,8495.30076413325
846,8490.51598877705
847,8485.47294144258
848,8480.00501255164
849,8474.55170638597
850,8469.77242536118
851,8464.51911175785
852,8459.10752865483
853,8454.07949604053
854,8449.23228904949
855,8444.59017453124
856,8439.63150453836
857,8435.05027328851
858,8430.82161459283
859,8426.02961488337
860,8421.84251799601
861,8418.18696738852
862,8414.50578613632
863,8410.91459634896
864,8406.94093534435
865,8402.24559592301
866,8396.21430503
867,8390.56289417887
868,8384.82536781012
869,8379.09797683212
870,8373.08772342492
871,8367.23135792061
872,8361.12254945233
