name,latitude,longitude,walking distance
Caffè Nero,53.7976967,-1.5427634,934.4478986841361
Juici Sushi,53.7914028,-1.5478616,1848.7279066208378
Arch Cafe,53.7999243,-1.5429848,942.9597490434189
Hot Roast Cabin,53.8027303,-1.5302921,741.5524616962185
Maes,53.7913503,-1.5149707,1647.363207948975
Pret A Manger,53.7953881,-1.5475246,1451.6733363924307
Tomato Dip,53.7904416,-1.5217808,1418.5939289590071
Hotel Chocolat,53.7958947,-1.545224,1205.9166063503703
Deli Fifty Nine,53.8009924,-1.5518384,1579.0265897946467
Riveresque Cafe Bar,53.7942004,-1.5418616,1067.4495005848428
Tavassolis,53.7994033,-1.5416847,860.2269497283356
Yum Yum,53.7936108,-1.5372815,1011.1809109603576
Distinto,53.7977194,-1.5431913,988.9601529227425
Cafe 164,53.7967618,-1.5339258,337.4780556172404
Bagel Nash,53.7986302,-1.5541531,1694.8826421104475
Lincoln Green Internet Cafe,53.8020301,-1.5265893,707.2930191120449
Pumpkin,53.7975158,-1.5361775,435.2783183450946
Wapentake,53.7960931,-1.5387167,680.1499161094212
Cafe & Sandwich Bar,53.7982138,-1.5531511,1661.5062569131258
Family Internet Cafe,53.8087781,-1.5164137,1789.80119258508
Panini Shack,53.7915908,-1.548243,1654.8416643155783
Salam Internet Cafe,53.8089951,-1.5167905,1790.931803830138
Costa,53.7978841,-1.5429607,1012.6798394340167
Olympic,53.7967042,-1.5407301,839.802530777723
Laynes Espresso,53.7952673,-1.5451618,1292.4554280920427
The Roast,53.7899408,-1.5316844,1302.9138294078662
The New Captain's Table,53.7900537,-1.5233939,1378.3882531898432
Behind The Town Hall,53.8008294,-1.5501459,1462.5348997534147
World Football,53.8037144,-1.5293585,832.6688665106647
Abyssinia Cafe And Restaurant,53.8091677,-1.5149479,1880.6870134165715
Istanbul Cafe,53.7965135,-1.5398982,784.1900565795746
La Bottega Milanese,53.797957,-1.5478135,1400.0309636719167
Mrs Atha's,53.7965701,-1.5411949,929.6688720368903
Shake Bar,53.8015086,-1.5440807,1273.7935705430739
Cafe Centro,53.8011111,-1.5529075,1633.1946954189548
Doghouse,53.7961175,-1.5387858,679.408891016121
Kitty Cafe,53.7972857,-1.5415214,882.0324313546477
Grain,53.8010127,-1.5520074,1579.7692784065089
Annas Snack Bar,53.7865262,-1.5381805,1620.7775225217056
Caffe Nero,53.7994444,-1.5468872,1104.963483795974
Dunkin Donuts,53.8009993,-1.5446493,1163.2179742079202
Caffè Ritazza,53.7949147,-1.5477769,1438.5106755480067
Early Bird Cafe,53.7912988,-1.5191683,1691.2669782816695
Starbucks Coffee,53.7913341,-1.5478248,1846.764486382231
San Co Co,53.7993591,-1.5417098,807.8522718525066
Rumbling Tum Cafe,53.7928599,-1.5230079,1242.9924214059172
Coffee 44,53.7946995,-1.5379691,783.1701842514491
Kapow Coffee,53.7986605,-1.5427861,948.6188707823586
Pasta Romagna,53.79772,-1.5433727,987.13862456638
Tiled Hall Cafe,53.8000142,-1.5487072,1343.8803636625887
Wezy's,53.7941757,-1.5180518,1242.1735665586748
Costa Coffee,53.7978464,-1.5477045,1757.301663307729
The Greedy Pig,53.8013931,-1.5383417,1053.0551735120782
Union Coffee House,53.8009723,-1.551406,1535.0154733750076
Out of the Woods,53.7935428,-1.5487252,1513.33206152693
Philpotts,53.7913436,-1.5475539,1829.1612767731947
Cafe Leep,53.8086197,-1.5320912,1741.0657299873037
Relish Food,53.796197,-1.5323976,412.772266194821
Nurture Cafe,53.7961787,-1.5437669,1149.7877294258217
Global Tribe Cafe,53.7988422,-1.5427713,929.3355667782772
Starbucks,53.7953646,-1.5480733,1557.1630271365475
Kada's,53.7961182,-1.5398444,975.458114774366
LIMM café,53.8080686,-1.5200157,1765.915122355845
