"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","C/EO Assistant Information Officer (London Inner)","31273","34777","Communications","2.60","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","D/HEO Information Officer (London Inner)","37061","40678","Communications","9.89","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","D/HEO Information Officer (National)","32998","36623","Communications","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","E/SEO (London Inner)","36852","42841","Communications Manager","1.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","E/SEO Senior Information Officer (London Inner)","41730","51920","Communications Manager","6.81","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","E/SEO Senior Information Officer (National)","37664","47189","Communications Manager","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","F/G7 (London Inner)","50476","61530","Senior Press Officer","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","F/G7 Communications (London Inner)","52389","63918","Senior Press Officer","3.81","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","A/AA (London Inner)","20235","20235","Communications Support Officer","1.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","B/AO (London Inner)","22649","23457","Communications Support Officer","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","B/AO (London Inner)","22649","23457","Correspondence Manager","5.83","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","B/AO (National)","18478","19983","Correspondence Manager","6.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","B/AO Personal Secretary (London Inner)","22649","23457","Correspondence Manager","1.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO (London Inner)","27485","30195","Correspondence Manager","17.44","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO (London Inner)","27485","30195","Executive Assistant","3.97","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO (National)","24476","26061","Communications","1.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO (National)","24476","26061","Correspondence Manager","59.42","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO Assistant Information Officer (London Inner)","31273","34777","Communications","4.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO Assistant Information Officer (National)","27227","31267","Communications","2.52","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO Legacy (National)","22312","25358","Correspondence Manager","2.57","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","D/HEO (London Inner)","32430","36478","Communications","3.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","D/HEO (London Inner)","32430","36478","Correspondence Manager","5.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","D/HEO (National)","28307","32239","Communications","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","D/HEO (National)","28307","32239","Correspondence Manager","26.31","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","D/HEO Information Officer (London Inner)","37061","40678","Communications Manager","14.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","D/HEO Information Officer (National)","32998","36623","Communications Manager","15.13","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","D/HEO Information Officer Legacy (London Inner)","33785","39126","Communications Manager","0.50","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","E/SEO (London Inner)","36852","42841","Directors Office","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","E/SEO (London Inner)","36852","42841","Senior Correspondence Manager","2.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","E/SEO (National)","32566","38700","Business Manager","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","E/SEO (National)","32566","38700","Senior Correspondence Manager","3.50","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","E/SEO Senior Information Officer (London Inner)","41730","51920","Communications Manager","13.72","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","E/SEO Senior Information Officer (National)","37664","47189","Communications Manager","14.13","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","E/SEO Senior Statistical Officer (London Inner)","36852","42871","Communications Manager","1.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","F/G7 (London Inner)","50476","61530","Manager Directors Office","1.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","F/G7 (National)","45905","56707","Senior Correspondence Manager","2.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","F/G7 Communications (London Inner)","52389","63918","Communications Manager","7.56","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","F/G7 Communications (National)","47748","58959","Communications Manager","8.75","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","F/G7 Principal Statistician (London Inner)","53424","64893","Analyst","1.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","G/G6 (London Inner)","61852","74957","Communications Manager","2.83","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","G/G6 (London Inner)","61852","74957","Senior Correspondence Manager","0.67","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","G/G6 Communications (London Inner)","61867","74972","Communications Manager","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","G/G6 Communications (National)","56721","69422","Communications Manager","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO (National)","24476","26061","Correspondence Manager","38.79","Other"
