"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"DWP410","N/D","SCS1","Deputy Director  Pensions Portfolio","Responsible for leading the development and delivery of high quality and innovative external communication strategies and plans to support the Government’s business delivery stakeholders on Pensions including Automatic Enrolment, New State Pensions and the Pension regulator campaigns .","Department for Work and Pensions","Department for Work and Pensions","Communications","020 7449 7720","legal@dwp.gsi.gov.uk","DWP158","1331210","1.00","70000","74999","","Communications","","1"
"DWP158","Richard Caseby","SCS2","Director of Communications","Covering the Department's press office, internal communications, marketing and PR.","Department for Work and Pensions","Department for Work and Pensions","Communications","020 7449 7720","legal@dwp.gsi.gov.uk","DWP135","9390130","1.00","120000","124999","","Communications","","1"
"DWP1821","N/D","SCS1","Deputy Director, Press Office, Digital & Multimedia Portfolio","To provide advice on handling media for the department and for Ministers. To answer questions from journalists about the work of the department. To handle the media element of announcements, speeches and visits by the Ministerial team and Permanent Secretary.","Department for Work and Pensions","Department for Work and Pensions","Communications","020 7449 7720","legal@dwp.gsi.gov.uk","DWP158","0","1.00","80000","84999","","Communications","","1"
"DWP160","N/D","SCS1","Head of Internal Communications and People","Internal communications and the Studio exists to help staff and citizens understand DWP better, whether that is the services the Department offers or the part they play in making DWP’s objectives to reform welfare and pensions a success. The team achieves this through communications advice, planning, channel delivery (including the DWP website and intranet, DirectGov and Businesslink websites) and brand management. The team has a duty to fulfil the Department’s legal requirements to provide information to citizens which includes corporate publications (such as green papers), leaflets, letters, forms and display materials for Jobcentre Plus and Pension Disability and Carers Service.","Department for Work and Pensions","Department for Work and Pensions","Communications","020 7449 7720","legal@dwp.gsi.gov.uk","DWP158","0","1.00","80000","84999","","Communications","","1"
"DWP147","N/D","SCS1","Head of Feedback & Decision Makers & Ministerial Correspondence","Lead teams that support the Independent Case Examiner to provide free and impartial complaints resolution to service users, and feedback her findings to improve services. Oversee DWP’s complaint-resolution and special-payment policy, and act as DWP’s point of contact with the Parliamentary and Health Service Ombudsman. Produce guidance for DWP’s decision makers, and support the Department around appeals to the Upper Tribunal and higher courts. Produce timely, high quality responses to correspondence on DWP policies from the public and their MPs.","Department for Work and Pensions","Department for Work and Pensions","Communications","020 7449 7720","legal@dwp.gsi.gov.uk","DWP158","0","1.00","70000","74999","","Communications","","1"
"DWP278","N/D","SCS1","Deputy Director, Working Age Portfolio","Responsible for leading the development and delivery of high quality and innovative communication strategies and plans to support the Government’s business delivery objectives on Universal Credit. Provide expert advice to senior internal and external stakeholders on communications and act as senior Business Partner to the Universal Credit Programme.","Department for Work and Pensions","Department for Work and Pensions","Communications","020 7449 7720","legal@dwp.gsi.gov.uk","DWP158","0","1.00","75000","79999","","Communications","","1"
"DWP505","N/D","SCS1","Deputy Director, Corporate and Contracted Services Finance","Providing finance business partner support and advice to the Finance Group Directors, HR Group Directors, including commercial finance support to health services, employment programmes, estates, central contracts.  Also reponsible for people strategy, capability building and communications for Finance Group.","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP305","0","1.00","80000","84999","","Finance","","1"
"DWP174","N/D","SCS1","Head of European Social Fund","The team is responsible for deciding how European Social Fund money should be spent in England and Gibraltar and for managing the expenditure by supporting and checking providers and submitting claims to the European Commission.","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP455","0","1.00","65000","69999","","Finance","","1"
"DWP305","Stephen Buckingham","SCS2","Operations Finance Director","Leading the Finance Operations Directorate, ensuring that effective financial management and planning and performance management regimes are in place and that they support effective decision-making through high quality analysis, challenge, advice, and reporting.Ensuring Value for Money is considered at all levels of Operations and that an effective link is achieved between productivity, unit costing and other planning and financial activities. Leading all financial matters within CMG including financial management, reporting, accounting and business performance reporting and ensuring that value for money is delivered. Responsible for leading the Commission’s commercial and supplier relationship activities and contributing to the future direction of the organisation by offering advice to the Executive Team and Ministers, and delivering CMG’s planning, analysis, management information and research activities.","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP99","15022872","1.00","105000","109999","","Finance","","1"
"DWP142","N/D","SCS1","Head of Forecasting","Responsible for: (1) Collation and dissemination of department’s benefit expenditure and workload forecasts, internally and to external organisations such as HM Treasury and the Office for Budget Responsibility, including briefing on expenditure and forecasts. (2) Analysis of the markets for suppliers upon whom DWP relies to deliver its services. (3) Lead analyst for Devolution issues. (4) Analytical support for Financial Strategy, Planning & Analysis Directorate, and other parts of Finance Group where there is no other dedicated function. (5) Leading on driving up the quality of analysis across the department, and joining up the finance and analytical communities.","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP456","0","1.00","80000","84999","","Finance","","1"
"DWP511","N/D","SCS1","Head of Planning and Financial Management","The team owns the Departmental financial planning and management processes and provides support to lead planners and finance business partners across DWP","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP456","0","1.00","80000","84999","","Finance","","1"
