"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"CMO-038","N/D","SCS1","Deputy Director - Clinical Excellence Awards Policy","'Responsible for - operational process for National Clinical Excellence Awards - Policy development on the awards, including input to the Independent Review by the DDRB.'","Department of Health","Department of Health","Chief Medical Officer's Private Office","020 7210 4850","N/D","CMO-002","0","0.50","40000","44999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-063","N/D","SCS1","Deputy Director, Obesity and Food Policy","'Responsible for: Obesity Policy.'","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-019","1092852","0.60","50000","54999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-077","N/D","SCS1","Deputy Director for Maternity & Child Health","Responsible for Policy on maternal mental health, personalisation and choice in maternity care and infant feeding","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-022","0","0.70","60000","64999","","Policy","Cost of reports added to SC-022 http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2358","ELIMINATED","SCS1","Deputy Director - Office for Life Sciences, Health Innovation","Office for Life Sciences, Health Innovation","Department of Health","Department of Health","Innovation, Growth and Technology","N/A","N/D","IGT2355","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-NHSEFP-116","Peter Sellars","SCS2","Director of Estates and Facilities","'Responsible for - National policy for NHS Estates & Facilities functions in relation to the provision of safe, clean, and suitable patient environments    '","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN140","0","0.54","45000","49999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2359","VACANT","SCS1","Deputy Director - Office for Life Sciences, Health Innovation","Office for Life Sciences, Health Innovation","Department of Health","Department of Health","Innovation, Growth and Technology","N/A","N/D","IGT2355","0","1.00","85000","89999","","Policy","Cost of reports added to IGT2355 http://guidance.data.gov.uk/organogram-data.html","1"
"IGT-2004","N/D","SCS1","Senior Technical Advisor","'Provision of special advice on Multiple Sclerosis risk sharing scheme.'","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT-101","0","0.60","50000","54999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-067","N/D","SCS1","Head of Health Protection Analytical team","Responsible for:Health Protection Analytical Team","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-017","609341","0.70","60000","64999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SER106","N/D","SCS1","Deputy Director - Strategic Engagement","Responsible for supporting the Executive Committee to determine the narrative for a new DH operating model","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO-016","0","0.80","70000","74999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN146","N/D","SCS1","Head of NHS Litigaton Improvement Programme","Leading the a cost improvement programme for the NHS Litigation Authority","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-PICD-033","0","0.92","80000","84999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-2388N","N/D","SCS1","Programme Director for the NHS Cost Recovery Programme","'Leads the engagement with the NHS to design and deliver implementation of the migrant and visitor NHS cost recovery programme.  '","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-004","0","1.00","85000","89999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
