G Handle,Squat,Bench,Deadlift,Total,Gender,2018 Total,Improvement,Percent Improvement
pma_strong,400,275,475,1150,Male,840,310,37%
sjyoung29,440,253,506,1199,Male,975,224,23%
bamis51,500,300,515,1315,Male,1100,215,20%
cindydeadman,145,60,190,395,Female,190,205,108%
jazzyliftsstuff,300,155,315,770,Female,570,200,35%
strongmanpharmd,515,315,555,1385,Male,1190,195,16%
selwynns,460,315,475,1250,Male,1070,180,17%
chipmathis,365,340,455,1160,Male,1020,140,14%
moody_lifts,312,272,426.6,1010.6,Male,930,80.6,9%
danmaho2112,410,235,435,1080,Male,1000,80,8%
brianzemurphy,415,255,550,1220,Male,1145,75,7%
marinah84,255,165,315,735,Female,665,70,11%
thedriverkaya,355,254,463,1072,Male,1015,57,6%
matt89johnson,455,295,435,1185,Male,1135,50,4%
jared.neal724,739,451,771,1961,Male,1925,36,2%
seb_felipe,365,240,405,1010,Male,975,35,4%
Alexdiaz1271,463,300,540,1303,Male,1270,33,3%
richardrechtien,345,235,375,955,Male,925,30,3%
badlosebarbell,272,175,365,812,Male,790,22,3%
cmosley_90,700,425,500,1625,Male,1605,20,1%
gray_matter_lifting,475,330,515,1320,Male,1300,20,2%
jakehalusek,45223,480,,45703,Male,New Competitor,0,0%
jrv450,725,485,585,1795,Male,New Competitor,0,0%
bigred6868,700,400,675,1775,Male,New Competitor,0,0%
seejay41,665,435,675,1775,Male,New Competitor,0,0%
hstewart0224,550,385,650,1585,Male,New Competitor,0,0%
homegrownstrength,515,550,485,1550,Male,New Competitor,0,0%
clinton4255,575,350,605,1530,Male,New Competitor,0,0%
_barbells.and.barbecue_,545,425,555,1525,Male,New Competitor,0,0%
pauliinka23,515,425,530,1470,Male,New Competitor,0,0%
black_custom_knives-MARK,545,365,545,1455,Male,New Competitor,0,0%
jacobxfury,505,365,585,1455,Male,New Competitor,0,0%
logiedabear85,545,365,535,1445,Male,New Competitor,0,0%
walsh_liftsthrows,500,425,520,1445,Male,New Competitor,0,0%
pastorjbrad,575,355,495,1425,Male,New Competitor,0,0%
the.actual.1,463,441,507,1411,Male,New Competitor,0,0%
powerdad.b,500,340,565,1405,Male,New Competitor,0,0%
beatmd,485,365,550,1400,Male,New Competitor,0,0%
eric_jk7,500,350,525,1375,Male,New Competitor,0,0%
johnmelone9,505,365,505,1375,Male,New Competitor,0,0%
bigmadmike6,500,345,525,1370,Male,New Competitor,0,0%
coach_xman,460,335,555,1350,Male,New Competitor,0,0%
lift_lunch_love,500,300,550,1350,Male,New Competitor,0,0%
codexprime,470,295,570,1335,Male,New Competitor,0,0%
dalehardwick,500,335,500,1335,Male,New Competitor,0,0%
sutelman,492,285,555,1332,Male,New Competitor,0,0%
awesomejt,475,300,555,1330,Male,New Competitor,0,0%
xl_strength,463,308,551,1322,Male,New Competitor,0,0%
freddiev27,405,350,545,1300,Male,New Competitor,0,0%
Scotty.watty,425,340,535,1300,Male,New Competitor,0,0%
bros_md,475,315,500,1290,Male,New Competitor,0,0%
paschmetat,407.5,315,545,1267.5,Male,New Competitor,0,0%
alex.yemma.long,435,285,545,1265,Male,New Competitor,0,0%
stewdoo555,475,255,515,1245,Male,New Competitor,0,0%
sbd_esq1,425,295,515,1235,Male,New Competitor,0,0%
trey_gould95,425,310,495,1230,Male,New Competitor,0,0%
nate_dom,410,300,515,1225,Male,New Competitor,0,0%
txgaragegym,445,325,455,1225,Male,New Competitor,0,0%
ryno.lindsay,455,295,455,1205,Male,New Competitor,0,0%
iron_necklace_fitness,365,365,455,1185,Male,New Competitor,0,0%
black_custom_knives,425,300,455,1180,Male,New Competitor,0,0%
spicycajunfries,425,320,435,1180,Male,New Competitor,0,0%
digitalcable,425,245,500,1170,Male,New Competitor,0,0%
new_family_gym,375,325,465,1165,Male,New Competitor,0,0%
daneo233,435,315,405,1155,Male,1155,0,0%
myleslifts,415,245,495,1155,Male,New Competitor,0,0%
tyler_boyd,405,320,425,1150,Male,New Competitor,0,0%
bww.pwr,350,275,525,1150,Male,New Competitor,0,0%
