Projected Year,All Ages
2016,65648054
2017,66051496
2018,66465641
2019,66867421
2020,67254538
2021,67616349
2022,67961380
2023,68289602
2024,68612040
2025,68927522
2026,69234979
2027,69533396
2028,69822078
2029,70100869
2030,70369951
2031,70629653
2032,70880517
2033,71123321
2034,71359014
2035,71588731
2036,71813664
2037,72034910
2038,72253805
2039,72471240
2040,72688254
2041,72904546
2042,73118868
2043,73330962
2044,73540255
2045,73746096
2046,73947837
2047,74144805
2048,74336332
2049,74521922
2050,74701305
2051,74874293
2052,75040905
2053,75201336
2054,75355992
2055,75505428
2056,75650324
2057,75791532
2058,75929948
2059,76066442
2060,76201995
2061,76337531
2062,76473943
2063,76612029
2064,76752517
2065,76896013
2066,77042963
2067,77193694
2068,77348335
2069,77506907
2070,77669240
2071,77835025
2072,78003849
2073,78175212
2074,78348560
2075,78523320
2076,78698945
2077,78874943
2078,79050902
2079,79226490
2080,79401539
2081,79575926
2082,79749714
2083,79922978
2084,80095912
2085,80268765
2086,80441813
2087,80615367
2088,80789695
2089,80965095
2090,81141747
2091,81319849
2092,81499543
2093,81680865
2094,81863787
2095,82048192
2096,82233949
2097,82420822
2098,82608526
2099,82796808
2100,82985328
2101,83173813
2102,83361967
2103,83549549
2104,83736372
2105,83922291
2106,84107253
2107,84291268
2108,84474366
2109,84656683
2110,84838358
2111,85019590
2112,85200567
2113,85381464
2114,85562512
2115,85743849
2116,85925631
