Member_of_the_58th_Parliament_of_the_United_Kingdom,Member_of_the_58th_Parliament_of_the_United_KingdomLabel,date_of_birth
http://www.wikidata.org/entity/Q300107,Caroline Dinenage,1971-10-28T00:00:00Z
http://www.wikidata.org/entity/Q300142,Jonathan Djanogly,1965-06-03T00:00:00Z
http://www.wikidata.org/entity/Q300292,Jeffrey Donaldson,1962-12-07T00:00:00Z
http://www.wikidata.org/entity/Q302036,Jackie Doyle-Price,1969-08-05T00:00:00Z
http://www.wikidata.org/entity/Q302187,Richard Drax,1958-01-29T00:00:00Z
http://www.wikidata.org/entity/Q302244,Jack Dromey,1948-09-21T00:00:00Z
http://www.wikidata.org/entity/Q302309,James Duddridge,1971-08-26T00:00:00Z
http://www.wikidata.org/entity/Q302486,Iain Duncan Smith,1954-04-09T00:00:00Z
http://www.wikidata.org/entity/Q302546,Philip Dunne,1958-08-14T00:00:00Z
http://www.wikidata.org/entity/Q302763,Angela Eagle,1961-02-17T00:00:00Z
http://www.wikidata.org/entity/Q302815,Maria Eagle,1961-02-17T00:00:00Z
http://www.wikidata.org/entity/Q302892,Jonathan Edwards,1976-04-26T00:00:00Z
http://www.wikidata.org/entity/Q302939,Clive Efford,1958-07-10T00:00:00Z
http://www.wikidata.org/entity/Q303011,Julie Elliott,1963-07-29T00:00:00Z
http://www.wikidata.org/entity/Q303085,Michael Ellis,1967-10-13T00:00:00Z
http://www.wikidata.org/entity/Q303299,Tobias Ellwood,1966-08-12T00:00:00Z
http://www.wikidata.org/entity/Q303465,Bill Esterson,1966-10-27T00:00:00Z
http://www.wikidata.org/entity/Q303510,George Eustice,1971-09-28T00:00:00Z
http://www.wikidata.org/entity/Q303577,Chris Evans,1976-07-07T00:00:00Z
http://www.wikidata.org/entity/Q303814,Nigel Evans,1957-11-10T00:00:00Z
http://www.wikidata.org/entity/Q303883,David Evennett,1949-06-03T00:00:00Z
http://www.wikidata.org/entity/Q304027,Michael Fabricant,1950-06-12T00:00:00Z
http://www.wikidata.org/entity/Q304251,Tim Farron,1970-05-27T00:00:00Z
http://www.wikidata.org/entity/Q306250,Robert Syms,1956-08-15T00:00:00Z
http://www.wikidata.org/entity/Q327823,Desmond Swayne,1956-08-20T00:00:00Z
http://www.wikidata.org/entity/Q328608,Julian Sturdy,1971-06-03T00:00:00Z
http://www.wikidata.org/entity/Q328641,Graham Stuart,1962-03-12T00:00:00Z
http://www.wikidata.org/entity/Q328737,Graham Stringer,1950-02-17T00:00:00Z
http://www.wikidata.org/entity/Q328769,Mel Stride,1961-09-30T00:00:00Z
http://www.wikidata.org/entity/Q328791,Gary Streeter,1955-10-02T00:00:00Z
http://www.wikidata.org/entity/Q328953,Iain Stewart,1972-09-18T00:00:00Z
http://www.wikidata.org/entity/Q332374,Liam Fox,1961-09-22T00:00:00Z
http://www.wikidata.org/entity/Q332979,Stephen Hammond,1962-02-04T00:00:00Z
http://www.wikidata.org/entity/Q333261,Andrew Mitchell,1956-03-23T00:00:00Z
http://www.wikidata.org/entity/Q333520,David Mundell,1962-05-27T00:00:00Z
http://www.wikidata.org/entity/Q333533,Jeremy Hunt,1966-11-01T00:00:00Z
http://www.wikidata.org/entity/Q333680,Chloe Smith,1982-05-17T00:00:00Z
http://www.wikidata.org/entity/Q333714,Neil Parish,1956-05-26T00:00:00Z
http://www.wikidata.org/entity/Q333846,John Redwood,1951-06-15T00:00:00Z
http://www.wikidata.org/entity/Q333852,Cheryl Gillan,1952-04-21T00:00:00Z
http://www.wikidata.org/entity/Q333937,Michael Gove,1967-08-26T00:00:00Z
http://www.wikidata.org/entity/Q334261,Maria Miller,1964-03-26T00:00:00Z
http://www.wikidata.org/entity/Q337453,Chris Grayling,1962-04-01T00:00:00Z
http://www.wikidata.org/entity/Q337720,John Baron,1959-06-21T00:00:00Z
http://www.wikidata.org/entity/Q337812,Fabian Hamilton,1955-04-12T00:00:00Z
http://www.wikidata.org/entity/Q337970,Michelle Gildernew,1970-03-28T00:00:00Z
http://www.wikidata.org/entity/Q341511,Bob Stewart,1949-07-07T00:00:00Z
http://www.wikidata.org/entity/Q341538,John Stevenson,1963-07-04T00:00:00Z
http://www.wikidata.org/entity/Q341570,Andrew Stephenson,1981-02-17T00:00:00Z
http://www.wikidata.org/entity/Q373047,Anne McLaughlin,1966-03-08T00:00:00Z
http://www.wikidata.org/entity/Q389189,Mark Spencer,1970-01-20T00:00:00Z
http://www.wikidata.org/entity/Q389677,John Spellar,1947-08-05T00:00:00Z
http://www.wikidata.org/entity/Q390756,Yvonne Fovargue,1956-11-29T00:00:00Z
http://www.wikidata.org/entity/Q390760,Nick Smith,1960-01-14T00:00:00Z
http://www.wikidata.org/entity/Q390794,Julian Smith,1971-08-30T00:00:00Z
http://www.wikidata.org/entity/Q390849,Henry Smith,1969-05-14T00:00:00Z
http://www.wikidata.org/entity/Q390869,Mark Francois,1965-08-14T00:00:00Z
http://www.wikidata.org/entity/Q390983,George Freeman,1967-07-12T00:00:00Z
http://www.wikidata.org/entity/Q391008,Mike Freer,1960-05-29T00:00:00Z
http://www.wikidata.org/entity/Q391073,Richard Fuller,1962-05-30T00:00:00Z
http://www.wikidata.org/entity/Q391094,Roger Gale,1943-08-20T00:00:00Z
http://www.wikidata.org/entity/Q391169,Barry Gardiner,1957-03-10T00:00:00Z
http://www.wikidata.org/entity/Q391222,Mark Garnier,1963-02-26T00:00:00Z
http://www.wikidata.org/entity/Q391300,Nick Gibb,1960-09-03T00:00:00Z
http://www.wikidata.org/entity/Q391341,Andy Slaughter,1960-09-29T00:00:00Z
http://www.wikidata.org/entity/Q391465,John Glen,1974-04-01T00:00:00Z
http://www.wikidata.org/entity/Q391483,Mary Glindon,1957-01-13T00:00:00Z
http://www.wikidata.org/entity/Q391526,Chris Skidmore,1981-05-17T00:00:00Z
http://www.wikidata.org/entity/Q391644,Robert Goodwill,1956-12-31T00:00:00Z
http://www.wikidata.org/entity/Q391756,Richard Graham,1958-04-04T00:00:00Z
http://www.wikidata.org/entity/Q391792,Helen Grant,1961-09-28T00:00:00Z
http://www.wikidata.org/entity/Q391839,James Gray,1954-11-07T00:00:00Z
http://www.wikidata.org/entity/Q391960,Damian Green,1956-01-17T00:00:00Z
http://www.wikidata.org/entity/Q391986,Kate Green,1960-05-02T00:00:00Z
http://www.wikidata.org/entity/Q392064,Lilian Greenwood,1966-03-26T00:00:00Z
http://www.wikidata.org/entity/Q392101,Nia Griffith,1956-12-04T00:00:00Z
http://www.wikidata.org/entity/Q392216,Andrew Gwynne,1974-06-04T00:00:00Z
http://www.wikidata.org/entity/Q392375,Robert Halfon,1969-03-22T00:00:00Z
http://www.wikidata.org/entity/Q393751,Alec Shelbrooke,1976-01-10T00:00:00Z
http://www.wikidata.org/entity/Q441532,Vicky Ford,1967-09-21T00:00:00Z
http://www.wikidata.org/entity/Q450298,Alyn Smith,1973-09-15T00:00:00Z
http://www.wikidata.org/entity/Q477464,Barry Sheerman,1940-08-17T00:00:00Z
http://www.wikidata.org/entity/Q478161,Matt Hancock,1978-10-02T00:00:00Z
http://www.wikidata.org/entity/Q478227,Greg Hands,1965-11-14T00:00:00Z
http://www.wikidata.org/entity/Q478276,Mark Harper,1970-02-26T00:00:00Z
http://www.wikidata.org/entity/Q478305,Rebecca Harris,1967-12-22T00:00:00Z
http://www.wikidata.org/entity/Q478345,Simon Hart,1963-08-15T00:00:00Z
http://www.wikidata.org/entity/Q478387,Virendra Sharma,1947-04-05T00:00:00Z
http://www.wikidata.org/entity/Q478531,Alok Sharma,1967-09-07T00:00:00Z
